Note,Commentaire,Label
5,dima nekhouh wou naawd,Positif
5,j\’adore,Positif
4,mche maya,Positif
5,je recommande,Positif
5,le prix est très raisonnable,Positif
4,j aime ce produit et surtout ce grand format c’est assez suffisant pour un usage familiale quotidien,Positif
5,good quality.,Positif
5,mon produit,Positif
5,good quality,Positif
5,le meilleur des gels lavants,Positif
5,excellent produit,Positif
4,je recommande vivement,Positif
4,doux,Positif
5,top,Positif
4,toooop,Positif
4,un produit top,Positif
3,bon produit,Positif
4,good,Positif
5,topp,Positif
4,bien,Positif
5,tooooop,Positif
5,rapport qualité prix excellent ,Positif
3,j’adore,Positif
5,j’adooore,Positif
5,jaime,Positif
4,super,Positif
5,tooop,Positif
4,quantité très généreuse par rapport au prix,Positif
4,superrr,Positif
5,coup de coeur,Positif
5,top du top,Positif
3,to,Positif
5,meilleur tarif,Positif
5,toppp,Positif
5,top top,Positif
5,la meilleure,Positif
4,je l’utilise pour ma fille de 6 ans elle a la peau sèche il est très bien ,Positif
5,mon coup de coeur!,Positif
5,nice,Positif
5,yhabel,Positif
5,waw,Positif
5,good product,Positif
4,je le recommande ,Positif
5,brsmi mahleh w me ychayehch l peau w douce je recommande,Positif
4,<3,Positif
4,format tkafi w twaffi,Positif
2,bien pr tt la famille,Neutre
5,je valide,Positif
4,parfait pour usage familiale,Positif
5,in love,Positif
5,very good,Positif
5,the best,Positif
5,tayara !,Positif
5,rapport qualité prix excellent,Positif
4,hayel,Positif
5,tres bien pour peau grasse,Positif
5,très bien,Positif
4,excellent,Positif
5,tayara,Positif
5,tayaraaa,Positif
5,il est top,Positif
5,excellent !!!!,Positif
3,tayara,Positif
5,très efficace,Positif
4,extraordinaire sensation de frais,Positif
5,votre peau grasse needs it !,Positif
4,raw3aaaaaaaa ,Positif
5,toppppp,Positif
5,mon gel préféré !,Positif
5,très bon,Positif
5,j’ai utilisé svr sebiacleau ma peau est grasse a imperfections et je l’utilise depuis t 2 ans,Positif
2,over qualified,Neutre
4,parfait,Positif
5,love it,Positif
3,très bien !,Positif
5,mon coup de coeur ,Positif
5,mon préféré,Positif
5,top!,Positif
4,si t’as des boutons c’est la solution ,Positif
4,the best ,Positif
4,sooo good,Positif
4,every girls best friend,Positif
4,j’adore ,Positif
4,theee best ,Positif
4,je recommande le produit,Positif
3,oui,Positif
5,un bon gel netteoyant rapport qualité prix est au top,Positif
5,tayaraaaa,Positif
4,literally ahsen mafama,Positif
1,non pour moi,Négatif
3,bech njarbo,Positif
1,c’est pas trés efficace pour moi tala3li 7ab,Négatif
3,ca passe,Positif
3,un peu asséchant,Positif
5,j’adore,Positif
5,très efficace je recommande vivement,Positif
1,nest3mlou w n3tykm elfeedback,Négatif
4,efficace..,Positif
4,magnifique,Positif
4,efficace,Positif
5,le produit est top,Positif
5,tayaraaa alekherrr,Positif
5,excellent !!!,Positif
5,good quality.  supeeer,Positif
5,produit top,Positif
4,je recommande ,Positif
4,pas mal,Positif
4,behiya,Positif
2,amour,Neutre
4,efficacité top,Positif
5,le produit est découvert  top,Positif
3,bon produit pour peau sèche,Positif
4,tpo,Positif
2,u,Neutre
4,bon produit.,Positif
5,إكتشاف,Positif
5,ta7foun 3alle5er,Positif
4,excellent remplacement pour cerave car ce n’est pas pour boycotter,Positif
