Note;Commentaire
5;dima nekhouh wou naawd
5;j\’adore
4;mche maya
5;Je recommande
5;Le prix est très raisonnable
4;j aime ce produit et surtout ce grand format c’est assez suffisant pour un usage familiale quotidien
5;Good quality.
5;Good quality.
5;Good quality.
5;Mon produit
5;good quality
5;le meilleur des gels lavants
5;excellent produit
4;je recommande vivement
4;Doux
5;Je recommande
5;top
4;Toooop
4;un produit top
3;bon produit
5;je recommande vivement
4;good
5;Topp
4;bien
5;❤️
5;Top
5;tooooop
5;Rapport qualité prix excellent 👌
3;j’adore
5;J’adooore
5;jaime
4;super
4;❤️
4;bon produit
5;tooop
4;quantité très généreuse par rapport au prix
4;superrr
5;top
5;top
5;coup de coeur
5;top du top
5;top
3;to
5;top
5;meilleur tarif
5;toppp
5;top top
5;top
5;La meilleure
4;je l’utilise pour ma fille de 6 ans elle a la peau sèche il est très bien 👍
5;mon coup de coeur!
5;nice
5;yhabel
4;topp
5;Top
5;waw
5;Toppp
5;good product
4;je le recommande 👌
5;brsmi mahleh w me ychayehch l peau w douce je recommande
4;<3
5;bon produit
4;format tkafi w twaffi
2;bien pr tt la famille
5;je valide
4;parfait pour usage familiale
5;top
5;in love
3;😍
5;top
5;very good
5;the best
5;toooop
5;good
4;super
5;je recommande vivement
5;tayara !
4;Good quality.
5;rapport qualité prix excellent
4;Hayel
5;Tres bien pour peau grasse
5;très bien
5;top
4;bon produit
3;Top
4;Excellent
5;tayara❤️
5;Tayaraaa
5;Il est top
5;Excellent
5;excellent !!!!
4;top
3;tayara
5;très efficace
5;bon produit
4;je recommande
5;Super
4;extraordinaire sensation de frais
5;Top
5;Votre peau grasse needs it !
4;Raw3aaaaaaaa 😻
5;Toppppp
5;Mon gel préféré !
5;très bon
5;j’ai utilisé svr sebiacleau ma peau est grasse a imperfections et je l’utilise depuis t 2 ans
2;over qualified
4;parfait
5;Love it
3;très bien !
5;top
5;mon coup de coeur ❤️
5;mon préféré
3;tooop
4;top
5;Top!
3;top
5;Good Quality
5;good
5;J’adore
4;Si t’as des boutons c’est la solution 😍
4;❤️❤️❤️
4;The best 😍
4;Sooo good
4;Every girls best friend
4;❤️❤️❤️❤️
4;😍😍😍
4;J’adore ❤️❤️
4;Theee best ❤️❤️❤️
4;Top
4;je recommande le produit
4;good
3;oui
5;Un bon gel netteoyant rapport qualité prix est au top
1;oui
5;👍👍👍👍👍
5;Tayaraaaa
5;😍😍
4;LITERALLY AHSEN MAFAMA
5;top
2;oui
1;non pour moi
3;BECH NJARBO
1;c’est pas trés efficace pour moi tala3li 7ab
4;good
5;parfait
3;ca passe
5;top
3;un peu asséchant
5;J’adore❤️
5;j’adore
5;excellent
5;très efficace je recommande vivement
5;Très efficace
1;nest3mlou w n3tykm elfeedback
3;😏
4;efficace..
4;magnifique
4;efficace
4;excellent
5;top
5;le produit est top
5;Bon produit
5;tayaraaa alekherrr
5;Excellent !!!
5;Bon produit
5;top
5;Good quality.
5;Good quality.  supeeer
5;Top
4;efficace
5;Good
5;Produit top
4;je recommande ❤️
3;good
4;pas mal
4;top
4;je recommande
4;efficace
5;Bon produit
4;Good quality.
4;tayaraaa alekherrr
4;behiya
2;amour
5;Amour
4;efficacité top
2;top
5;le produit est découvert  top
5;top
3;Bon produit pour peau sèche
4;tpo
5;super
2;U
2;❤️
5;Top
5;top
4;Bon produit.
4;top
5;إكتشاف
5;Ta7foun 3alle5er
5;Toppp
5;top
4;excellent remplacement pour CeraVe car ce n’est pas pour boycotter
5;Produit efficace
5;top
4;excellent
5;wow
5;j’adore
5;Très efficace pour peau grassse a tendance acnéique !
3;good
4;Nice
5;Ce gel est juste magnifique
4;amour
4;🥰
4;nice
4;For oily acne prone skin 👌
3;Nice
5;très bon produit
5;❤️
5;Top
5;Super top
3;👍​👍​
5;efficace pour peau grasse
4;👍​👍​
3;bon x pas un excellent produit mais il fait l’affaire
5;top
4;je valide
4;❤️❤️
5;toopppp
5;je recommande
5;super
4;Je recommande vivement , Top
5;tarif intéressant
3;super
4;tres efficase
5;nice
4;Bon produit
5;très bon produit
5;good
5;effective and lightens dark spots
5;Très très bon
5;trop cher malheureusement
4;Raw3a malgrés cher mais efficace pour les taches brunes
5;super
4;cher mais efficase
5;top
4;très efficace pour les tâches brunes
5;Good quality
5;J’adore je recommande
5;Excellent
5;top
5;super
5;excellent
5;Tres efficace
5;Top
5;top
5;top
4;super
5;يعطي نتيجة من أول إستعمال
5;très bon produit et efficace
5;top
1;très cher pour son efficacité ça ne marche pas aussi simple que ça
5;top
5;trés efficace
5;toop
5;efficace contre les tavhes sans irritation
5;Toop
5;j’adore
3;topp
5;tres efficace
5;miraculeux
5;tayara
5;J‘adore
5;j’adore
5;j’ai trouvé de bons résultats avec ce produit qui m’a enlevé les taches brunes
3;le rapport qualité prix est non équilibré
2;ghali
3;"il est bon en combiant avec une creme hydratante
mais il est un peu chere"
5;Top
5;top
5;Très Bon Produit
5;Produit parfait pour réduire les taches
5;Top
5;top
5;good
5;good
5;top
4;top
5;Bien
3;top
4;super
5;Topp
5;Top
5;Très bon produit
5;vraiment top avec continuation
5;je recommande top du top
5;excellent le meilleur
5;Ce soin est très efficace
5;Rop
5;incroyable
5;Top du top
4;moins efficace que le serum
5;top
4;TOP
5;Top je recommande fortement
5;Nice product
5;mche maya
5;franchement toppp
5;ejebni bech nawed menou
5;encore dispo??
5;behi barcha
5;Good
5;Good quality.
5;Coup de cœur ♥️
4;Good quality.
5;Good quality.
5;Good quality.
5;Good quality.
5;Good quality.
5;Good quality.
5;good
5;Bon site
5;top
5;top de top
5;top❤️❤️
4;Top
4;bon nettoyant
5;excellent produit
5;Coup de cœur ♥️ toooooppp
5;The best
5;top
5;topp
5;el gamme el cool mta3 la roche posay tayyaraa
5;top
5;le meilleur
5;top
5;tahfoun
4;top top
1;nul déconseillé pour la peau sèche.
5;Top 💯
5;le meilleur
5;behi lil wjeh li yztet
5;Parfait pour une peau mixte à grasse
5;tayara mchee m3aya ena peau grasses
4;Adorable
5;Top one
4;Top
5;just waaaaaw ❤❤
5;top
5;top
1;ye
5;top
5;mcha m3aya
5;mon préféré
5;Il a une texture très visqueuse
5;LE MEILLEURE
5;tayaraaa
5;i love it
4;tooop
5;tooooop
4;Top
5;super
3;oui
5;mezel andkom menou?
5;soum behii
5;nheb wehed ekher
5;Good quality.
5;tayara
5;Good quality.
5;Trés efficace pour peaux grasses
5;good
5;Top
5;je recommande
5;le meilleur gel nettoyent pour le peaux grasse
5;top
5;Top de top
4;top produit
5;top
5;ynadhef🥰
5;tooop
5;toooop
5;top
5;Top
3;behy ama sa3at n7essou yshaya7 barsha lezmou m3ah crème hydratante adéquate
4;Parfait pour peau grasse
2;ychaya7 barcha
2;👎
5;excellent produit
5;top
5;Top
4;j’aime
5;bien
5;GOOD QUALITY
5;Meilleure gamme
3;ynadhef l peau bl behi
4;Ynadhef mli7 w ychaya7 el wejh
4;top yoktel
4;Top
5;Good
3;j’aime
2;convient mieux aux peaux grasses pas sensibles.gamma trop parfumée et irritante. pas catastrophique
4;Top
4;je recommande
5;je recommande
5;top
5;top top 👌
5;excellent produit
5;top
2;top
4;toop ❤️
4;🤍
4;j’aime
5;excellent pour les peaux mixtes
3;👍​👍​
4;nice product
5;je valide
5;svr toujours au top
5;très bon produit
1;Just for oily skin
4;il est top
5;j’adore
4;j’addoooreee
3;mche m3aya
3;Ok
5;le meilleur
4;je recommande
4;bien
1;CV
5;Tooop
5;♥️♥️♥️
4;seulement pour peaux grasses! à éviter pour les peux normales à sèches
4;top du top ,,
5;Depuis 15 ans
5;Good quality.
5;Good quality.
5;Top
4;Il est top
5;Produit top de top
5;Good quality
5;The best 🤩
5;Top
5;wow
5;❤️❤️❤️
4;a recommander
3;efficace
4;good
4;…..f
4;bon qualité-prix
5;top
5;J’adore
5;Top
4;👍🏻
5;C’est magnifique pour la peau grasse
5;🤍
5;top
5;Top
5;Mchee maaya
5;yaser ta7foun peau mixte
